"","index","date","week","weekday","area","count","rabate","price","operator","driver","delivery_min","temperature","wine_ordered","wine_delivered","wrongpizza","quality"
"219",219,2014-03-07,10,5,"Brent",4,TRUE,45.864,"Maria","Carter",17.8,51.1,0,0,FALSE,"high"
"220",220,2014-03-07,10,5,"Camden",3,FALSE,44.97,"Maria","Miller",9.3,52.8,0,0,FALSE,"high"
"221",221,2014-03-07,10,5,"Westminster",2,FALSE,27.98,"Rhonda","Carpenter",26.6,48.8,0,0,FALSE,"medium"
"222",222,2014-03-07,10,5,"Brent",3,FALSE,65.75,"Maria","Carter",23.8,50,1,0,TRUE,"high"
"223",223,2014-03-07,10,5,"Westminster",3,FALSE,86.37,"Rhonda","Carpenter",45.3,38,1,1,FALSE,NA
"224",224,2014-03-07,10,5,"Brent",5,TRUE,60.255,"Maria","Carter",23,49.9,0,0,FALSE,"high"
"225",225,2014-03-07,10,5,"Camden",6,TRUE,77.346,"Rhonda","Miller",33.7,45.7,0,0,FALSE,"medium"
"226",226,2014-03-07,10,5,"Brent",2,FALSE,29.98,"Maria","Carter",35.1,42.6,0,0,TRUE,"medium"
"227",227,2014-03-07,10,5,"Westminster",3,FALSE,40.97,"Maria","Carpenter",17.4,55,0,0,FALSE,"high"
"228",228,2014-03-07,10,5,"Westminster",5,TRUE,91.053,"Rhonda","Carpenter",54.9,29.7,1,1,FALSE,"low"
"229",229,2014-03-07,10,5,"Westminster",4,TRUE,80.01,"Rhonda","Carpenter",22.3,48.5,1,1,FALSE,"medium"
"230",230,2014-03-07,10,5,"Brent",7,TRUE,82.737,"Maria","Carter",30.5,48,0,0,TRUE,"high"
"231",231,2014-03-07,10,5,"Westminster",4,TRUE,49.464,"Rhonda","Carpenter",29.8,49.7,0,0,FALSE,"medium"
"232",232,2014-03-07,10,5,"Brent",2,FALSE,26.98,"Rhonda","Carter",24.9,45.7,0,0,FALSE,"medium"
"233",233,2014-03-07,10,5,"Brent",5,TRUE,58.455,"Maria","Carter",32.2,47.1,0,0,FALSE,"high"
"234",234,2014-03-07,10,5,"Camden",5,TRUE,64.755,NA,"Miller",14,52.4,0,0,TRUE,"high"
"235",235,2014-03-07,10,5,"Brent",5,TRUE,55.755,"Rhonda","Carter",16.4,53.3,0,0,FALSE,"medium"
"236",236,2014-03-07,10,5,"Westminster",4,TRUE,52.164,"Maria","Carpenter",42.6,NA,0,0,FALSE,"high"
"237",237,2014-03-07,10,5,"Westminster",3,FALSE,41.97,"Maria","Carpenter",34.4,42.1,0,0,FALSE,"high"
"238",238,2014-03-07,10,5,"Westminster",3,FALSE,74.74,"Rhonda","Miller",22.7,51.7,1,1,FALSE,"medium"
"239",239,2014-03-07,10,5,"Brent",3,FALSE,42.97,"Rhonda","Carter",29.9,48.8,0,0,FALSE,"medium"
"240",240,2014-03-07,10,5,"Brent",5,TRUE,55.755,"Rhonda","Carpenter",32.4,46.6,0,0,FALSE,NA
"241",241,2014-03-07,10,5,"Brent",5,TRUE,86.364,"Maria","Carter",20.3,53.6,1,1,TRUE,"high"
"242",242,2014-03-07,10,5,"Brent",5,TRUE,61.155,"Maria","Carter",16.1,53.4,0,0,FALSE,"high"
"243",243,2014-03-07,10,5,"Westminster",2,FALSE,29.98,"Maria","Miller",35.1,43.7,0,0,FALSE,"high"
"244",244,2014-03-07,10,5,"Brent",1,FALSE,15.99,"Rhonda","Carter",21.6,47.7,0,0,FALSE,"medium"
"245",245,2014-03-07,10,5,"Westminster",4,TRUE,45.864,"Maria","Carpenter",36.3,41.3,0,0,FALSE,"high"
"246",246,2014-03-07,10,5,"Westminster",3,FALSE,43.97,"Maria","Miller",14.1,56.2,0,0,FALSE,"high"
"247",247,2014-03-07,10,5,"Westminster",4,TRUE,53.064,"Rhonda","Carpenter",29.1,47.1,0,0,FALSE,"medium"
"248",248,2014-03-07,10,5,"Brent",NA,NA,NA,"Rhonda","Carter",15.1,53.6,NA,NA,FALSE,"medium"
"249",249,2014-03-07,10,5,"Westminster",6,TRUE,110.007,"Rhonda","Carpenter",43,38.8,1,1,FALSE,"low"
"250",250,2014-03-07,10,5,"Camden",4,TRUE,48.564,"Maria","Carter",38,NA,0,0,TRUE,"medium"
"251",251,2014-03-07,10,5,"Camden",4,TRUE,46.764,"Rhonda","Miller",24.7,50.9,0,0,FALSE,"medium"
"252",252,2014-03-07,10,5,"Westminster",3,FALSE,44.97,"Maria","Carpenter",24.7,50.4,0,0,TRUE,"high"
"253",253,NA,NA,NA,"Westminster",3,FALSE,44.97,"Allanah","Carpenter",51.7,23.2,0,0,FALSE,"low"
"254",254,2014-03-08,10,6,"Brent",4,TRUE,48.564,"Rhonda","Taylor",24.4,46.3,0,0,FALSE,"medium"
"255",255,2014-03-08,10,6,"Brent",2,FALSE,29.98,"Rhonda","Butcher",16.5,49.8,0,0,FALSE,"medium"
"256",256,2014-03-08,10,6,"Westminster",6,TRUE,73.746,"Allanah","Taylor",40.4,NA,0,0,FALSE,NA
"257",257,2014-03-08,10,6,"Westminster",5,TRUE,61.155,"Allanah","Carpenter",43.6,21.6,0,0,FALSE,"low"
"258",258,2014-03-08,10,6,"Westminster",7,TRUE,83.637,"Allanah","Miller",36.3,29.1,0,0,FALSE,"low"
"259",259,2014-03-08,10,6,"Brent",3,FALSE,34.97,"Allanah","Taylor",23.8,48.2,0,0,FALSE,"high"
"260",260,2014-03-08,10,6,"Camden",3,FALSE,42.97,"Allanah","Miller",23.9,30.4,0,0,FALSE,NA
"261",261,2014-03-08,10,6,"Camden",4,TRUE,50.364,"Allanah","Taylor",21.3,49.1,0,0,FALSE,"high"
"262",262,2014-03-08,10,6,"Camden",6,TRUE,76.446,"Rhonda","Miller",10.5,51.3,0,0,FALSE,"medium"
"263",263,2014-03-08,10,6,"Brent",1,FALSE,16.99,"Allanah","Butcher",19.2,48.1,0,0,FALSE,"high"
"264",264,2014-03-08,10,6,"Camden",4,TRUE,81.612,"Allanah","Taylor",23.5,30.9,1,1,FALSE,"low"
"265",265,2014-03-08,10,6,"Westminster",3,FALSE,46.97,"Rhonda","Carpenter",35.5,38.5,0,0,TRUE,"low"
"266",266,2014-03-08,10,6,"Camden",2,FALSE,30.98,"Allanah","Miller",22.7,32.7,0,0,FALSE,"low"
"267",267,2014-03-08,10,6,"Brent",3,FALSE,40.97,"Allanah","Butcher",29.7,45.5,0,0,FALSE,"medium"
"268",268,2014-03-08,10,6,"Camden",2,FALSE,24.98,"Allanah","Miller",26,47.9,0,0,FALSE,"high"
"269",269,2014-03-08,10,6,"Brent",3,FALSE,45.97,"Rhonda","Butcher",10.5,53.1,0,0,TRUE,"low"
"270",270,2014-03-08,10,6,"Brent",1,FALSE,12.99,"Allanah","Butcher",15.6,47.3,0,0,FALSE,"medium"
"271",271,2014-03-08,10,6,"Westminster",2,FALSE,29.98,"Rhonda","Carpenter",35.2,35.8,0,0,FALSE,"low"
"272",272,2014-03-08,10,6,"Westminster",3,FALSE,59.03,"Allanah","Carpenter",44.7,NA,1,1,FALSE,"low"
"273",273,2014-03-08,10,6,"Camden",3,FALSE,42.97,"Allanah","Taylor",40.4,21.7,0,0,FALSE,"low"
"274",274,2014-03-08,10,6,"Camden",4,TRUE,48.564,"Rhonda","Taylor",28.9,45.5,0,0,FALSE,"medium"
"275",275,2014-03-08,10,6,"Brent",8,TRUE,99.828,"Rhonda","Butcher",12.1,49.4,0,0,FALSE,"medium"
"276",276,2014-03-08,10,6,"Brent",3,FALSE,38.97,"Allanah","Butcher",25.5,46.8,0,0,FALSE,"medium"
"277",277,2014-03-08,10,6,"Brent",5,TRUE,64.755,"Rhonda","Taylor",22.4,50.3,0,0,FALSE,"medium"
"278",278,2014-03-08,10,6,"Brent",4,TRUE,53.064,"Allanah","Taylor",20.2,51.2,0,0,FALSE,NA
"279",279,2014-03-08,10,6,"Westminster",5,TRUE,88.974,"Rhonda","Butcher",42.8,35.6,1,1,FALSE,"low"
"280",280,2014-03-08,10,6,"Camden",3,FALSE,70,"Allanah","Taylor",42.7,32,1,1,FALSE,"low"
"281",281,NA,NA,NA,"Westminster",3,FALSE,35.97,"Rhonda","Miller",42.1,NA,0,0,TRUE,"low"
"282",282,2014-03-08,10,6,"Camden",3,FALSE,84.36,"Rhonda","Taylor",30,43.9,1,1,FALSE,"medium"
"283",283,2014-03-08,10,6,"Camden",3,FALSE,42.97,"Allanah","Taylor",31.7,38.5,0,0,FALSE,"medium"
"284",284,2014-03-08,10,6,"Brent",4,TRUE,52.164,"Rhonda","Butcher",21.2,47.6,0,0,FALSE,"medium"
"285",285,2014-03-08,10,6,"Westminster",4,TRUE,47.664,"Rhonda","Taylor",50.6,27.9,0,0,FALSE,"low"
"286",286,2014-03-08,10,6,"Westminster",4,TRUE,73.899,"Rhonda","Carpenter",20.2,45.2,1,1,FALSE,"medium"
"287",287,2014-03-08,10,6,"Brent",3,FALSE,40.97,"Rhonda","Butcher",30.4,39.5,0,0,FALSE,"low"
"288",288,2014-03-08,10,6,"Westminster",5,TRUE,94.077,"Rhonda","Carpenter",44.8,38.7,1,1,FALSE,"low"
"289",289,2014-03-08,10,6,"Westminster",2,FALSE,59.13,"Rhonda","Carpenter",36.9,38.5,1,1,FALSE,"low"
"290",290,2014-03-08,10,6,"Westminster",4,TRUE,51.264,"Rhonda","Butcher",36.3,37.1,0,0,FALSE,"low"
"291",291,2014-03-08,10,6,"Westminster",4,TRUE,87.39,"Rhonda","Carpenter",37,40.7,1,1,FALSE,NA
"292",292,2014-03-08,10,6,"Westminster",3,FALSE,40.97,"Rhonda","Miller",27.7,43.3,0,0,FALSE,"medium"
"293",293,2014-03-08,10,6,"Brent",5,TRUE,55.755,"Rhonda","Butcher",22.8,46.2,0,0,FALSE,"medium"
"294",294,2014-03-08,10,6,"Westminster",3,FALSE,46.97,"Rhonda","Miller",20.6,44,0,0,FALSE,"medium"
"295",295,2014-03-08,10,6,"Camden",6,TRUE,71.946,"Allanah","Taylor",36.9,47.2,0,0,FALSE,"medium"
"296",296,2014-03-08,10,6,"Camden",7,TRUE,91.737,"Allanah","Taylor",23.4,47.2,0,0,FALSE,NA
"297",297,2014-03-08,10,6,"Brent",2,FALSE,28.98,"Allanah","Butcher",30.9,40.3,0,0,FALSE,"medium"
"298",298,2014-03-08,10,6,"Westminster",3,FALSE,39.97,"Allanah","Carpenter",49.6,21.8,0,0,FALSE,NA
"299",299,2014-03-08,10,6,"Brent",5,TRUE,70.155,"Allanah","Butcher",30,48.7,0,0,FALSE,"high"
"300",300,2014-03-08,10,6,"Westminster",4,TRUE,53.964,"Allanah","Butcher",31.2,22.2,0,0,FALSE,"low"
"301",301,2014-03-08,10,6,"Brent",2,FALSE,28.98,"Rhonda","Butcher",14.1,52.1,0,0,FALSE,"medium"
"302",302,2014-03-08,10,6,"Camden",4,TRUE,76.248,"Rhonda","Taylor",45.1,34.9,1,1,FALSE,"low"
"303",303,2014-03-08,10,6,"Westminster",1,FALSE,15.99,"Rhonda","Butcher",29.1,43.7,0,0,FALSE,"medium"
"304",304,2014-03-08,10,6,"Brent",2,FALSE,29.98,"Allanah","Taylor",28.6,42.4,0,0,FALSE,"medium"
"305",305,2014-03-08,10,6,"Westminster",3,FALSE,49.97,"Allanah","Carpenter",63.2,22.5,0,0,FALSE,"low"
"306",306,2014-03-08,10,6,"Westminster",2,FALSE,29.98,"Allanah","Miller",36.7,20.4,0,0,TRUE,NA
"307",307,2014-03-08,10,6,"Brent",4,TRUE,75.834,"Allanah","Butcher",18.1,53.4,1,1,FALSE,"high"
"308",308,2014-03-08,10,6,"Camden",2,FALSE,26.98,"Rhonda","Taylor",41.8,31.5,0,0,FALSE,"low"
"309",309,2014-03-08,10,6,"Camden",3,FALSE,45.97,"Allanah","Taylor",55,21.9,0,0,FALSE,"low"
"310",310,2014-03-09,10,7,"Westminster",2,FALSE,26.98,"Rhonda","Carpenter",36.9,38.3,0,0,FALSE,NA
"311",311,2014-03-09,10,7,"Brent",5,TRUE,60.255,"Allanah","Carpenter",17.2,35.8,0,0,FALSE,"medium"
"312",312,2014-03-09,10,7,"Brent",1,FALSE,10.99,"Rhonda","Butcher",9.1,60.5,0,0,FALSE,"high"
"313",313,2014-03-09,10,7,"Brent",3,FALSE,39.97,"Rhonda","Butcher",11.7,56.9,0,0,FALSE,"high"
"314",314,2014-03-09,10,7,"Brent",3,FALSE,39.97,"Rhonda","Hunter",9.6,59.3,0,0,FALSE,"high"
"315",315,2014-03-09,10,7,"Brent",5,TRUE,59.355,"Allanah","Hunter",16.7,39.1,0,0,FALSE,"medium"
"316",316,2014-03-09,10,7,"Brent",2,FALSE,25.98,"Allanah","Carpenter",33.7,NA,0,0,FALSE,"high"
"317",317,2014-03-09,10,7,"Brent",1,FALSE,15.99,"Allanah","Hunter",9.8,58.2,0,0,FALSE,"high"
"318",318,2014-03-09,10,7,"Westminster",3,FALSE,49.97,"Rhonda","Carpenter",33.7,51.7,0,0,FALSE,"medium"
"319",319,2014-03-09,10,7,"Brent",2,FALSE,27.98,"Rhonda","Taylor",10,56.9,0,0,FALSE,"high"
"320",320,2014-03-09,10,7,"Brent",4,TRUE,48.564,"Allanah","Butcher",17.2,59.3,0,0,FALSE,"high"
"321",321,2014-03-09,10,7,"Brent",3,FALSE,41.97,"Allanah","Hunter",21.2,54.2,0,0,FALSE,"high"
"322",322,2014-03-09,10,7,"Camden",2,FALSE,26.98,"Rhonda","Hunter",32.7,51,0,0,FALSE,"medium"
"323",323,2014-03-09,10,7,"Brent",4,TRUE,53.064,"Allanah","Butcher",12.2,60.1,0,0,FALSE,"high"
"324",324,2014-03-09,10,7,"Camden",1,FALSE,13.99,"Rhonda","Taylor",21.7,54.7,0,0,FALSE,"medium"
"325",325,2014-03-09,10,7,"Brent",4,TRUE,48.564,"Rhonda","Taylor",20,56.2,0,0,FALSE,"high"
"326",326,2014-03-09,10,7,"Brent",3,FALSE,43.97,"Rhonda","Butcher",11.1,58,0,0,FALSE,"high"
"327",327,2014-03-09,10,7,"Westminster",1,FALSE,13.99,"Rhonda","Butcher",31.4,44.6,0,0,FALSE,"medium"
"328",328,2014-03-09,10,7,"Brent",2,FALSE,31.98,"Allanah","Hunter",21.4,40.7,0,0,FALSE,NA
"329",329,2014-03-09,10,7,"Camden",5,TRUE,61.155,"Rhonda","Carpenter",22.2,55.3,0,0,FALSE,"medium"
"330",330,2014-03-09,10,7,"Brent",1,FALSE,11.99,"Rhonda","Hunter",17.4,56.7,0,0,FALSE,NA
"331",331,2014-03-09,10,7,"Westminster",1,FALSE,16.99,"Rhonda","Carpenter",23,55.2,0,0,FALSE,"medium"
"332",332,2014-03-09,10,7,"Westminster",3,FALSE,44.97,"Rhonda","Taylor",39.6,49.1,0,0,FALSE,NA
"333",333,2014-03-09,10,7,"Brent",2,FALSE,25.98,"Allanah","Butcher",10.7,60.4,0,0,FALSE,"high"
"334",334,2014-03-09,10,7,"Westminster",5,TRUE,63.855,"Allanah","Carpenter",14.9,41.9,0,0,FALSE,"medium"
"335",335,2014-03-09,10,7,"Camden",4,TRUE,92.34,"Rhonda",NA,20.8,58.9,1,1,FALSE,"high"
"336",336,2014-03-09,10,7,"Westminster",3,FALSE,81.45,"Allanah","Carpenter",30,53.8,1,1,FALSE,"high"
"337",337,2014-03-09,10,7,"Westminster",4,TRUE,66.6,"Rhonda","Carpenter",36.6,47.3,1,1,FALSE,"medium"
"338",338,2014-03-09,10,7,"Brent",3,FALSE,38.97,"Rhonda","Hunter",11.6,59.4,0,0,TRUE,"low"
"339",339,2014-03-09,10,7,"Westminster",4,TRUE,46.764,"Rhonda","Carpenter",21.6,58.2,0,0,FALSE,"high"
"340",340,2014-03-09,10,7,"Westminster",4,TRUE,83.961,"Allanah","Carpenter",42.5,NA,1,1,FALSE,"medium"
"341",341,2014-03-09,10,7,"Camden",4,TRUE,43.164,"Rhonda","Taylor",29.5,51.3,0,0,FALSE,"medium"
"342",342,NA,NA,NA,"Brent",4,TRUE,50.364,"Allanah","Butcher",9.6,59.1,0,0,FALSE,"high"
"343",343,NA,NA,NA,"Westminster",3,FALSE,71.7,"Allanah","Carpenter",62.9,19.4,1,1,FALSE,NA
"344",344,2014-03-09,10,7,"Westminster",1,FALSE,11.99,"Allanah","Carpenter",33.8,47.3,0,0,FALSE,"medium"
"345",345,2014-03-09,10,7,"Brent",1,FALSE,10.99,"Allanah","Carpenter",26.2,33.8,0,0,FALSE,NA
"346",346,2014-03-09,10,7,"Camden",2,FALSE,22.98,"Allanah","Taylor",28.4,51.3,0,0,FALSE,"high"
"347",347,2014-03-09,10,7,"Westminster",6,TRUE,78.246,"Allanah","Carpenter",19.6,58.1,0,0,FALSE,"high"
"348",348,2014-03-09,10,7,"Brent",2,FALSE,48.07,"Rhonda","Butcher",10.4,59.9,1,1,FALSE,"high"
"349",349,2014-03-09,10,7,"Brent",2,FALSE,23.98,"Rhonda","Hunter",8.8,60.1,0,0,FALSE,"high"
"350",350,2014-03-09,10,7,"Brent",2,FALSE,23.98,"Rhonda","Butcher",8.9,57.6,0,0,FALSE,NA
"351",351,2014-03-09,10,7,"Brent",NA,NA,NA,"Allanah","Hunter",18.9,38.7,NA,NA,FALSE,"medium"
"352",352,2014-03-09,10,7,"Brent",2,FALSE,65.35,"Rhonda","Taylor",23.5,57,1,1,FALSE,"high"
"353",353,2014-03-09,10,7,"Westminster",2,FALSE,26.98,"Allanah","Carpenter",25.7,53.7,0,0,FALSE,"high"
"354",354,2014-03-10,11,1,"Camden",4,TRUE,52.164,"Allanah","Taylor",28.3,46,0,0,FALSE,"medium"
"355",355,2014-03-10,11,1,"Camden",3,FALSE,40.97,"Allanah","Taylor",31,42.4,0,0,FALSE,"medium"
"356",356,2014-03-10,11,1,"Westminster",4,TRUE,50.364,"Allanah","Carpenter",36.9,45,0,0,FALSE,NA
"357",357,2014-03-10,11,1,"Camden",4,TRUE,47.664,"Allanah","Taylor",12.4,35,0,0,FALSE,"medium"
"358",358,2014-03-10,11,1,"Camden",6,TRUE,71.946,"Allanah","Taylor",24,50.1,0,0,FALSE,NA
"359",359,2014-03-10,11,1,"Camden",5,TRUE,64.755,"Allanah","Taylor",27.6,26.7,0,0,FALSE,NA
"360",360,2014-03-10,11,1,"Westminster",2,FALSE,26.98,"Allanah","Carpenter",21.9,48.8,0,0,FALSE,"high"
"361",361,2014-03-10,11,1,"Westminster",3,FALSE,38.97,NA,"Carpenter",24.3,46.8,0,0,FALSE,"medium"
"362",362,2014-03-10,11,1,"Westminster",1,FALSE,12.99,"Allanah","Carpenter",35.3,35.8,0,0,FALSE,NA
"363",363,2014-03-10,11,1,"Westminster",5,TRUE,58.455,"Allanah","Carpenter",28.5,30,0,0,FALSE,"low"
"364",364,2014-03-10,11,1,"Westminster",4,TRUE,55.764,"Allanah","Carpenter",30.6,42.9,0,0,FALSE,"medium"
"365",365,2014-03-10,11,1,"Camden",4,TRUE,50.364,"Allanah","Taylor",44.7,38.1,0,0,FALSE,"medium"
"366",366,2014-03-10,11,1,"Camden",2,FALSE,28.98,"Allanah","Taylor",35.2,24.1,0,0,FALSE,"low"
"367",367,2014-03-10,11,1,"Camden",3,FALSE,41.97,"Allanah","Carpenter",15,32.9,0,0,FALSE,"low"
"368",368,2014-03-10,11,1,"Westminster",3,FALSE,38.97,"Allanah","Carpenter",34.8,45,0,0,FALSE,"medium"
"369",369,2014-03-10,11,1,"Westminster",4,TRUE,72.324,"Allanah","Taylor",38.2,22.9,1,1,FALSE,"low"
"370",370,2014-03-10,11,1,"Camden",3,FALSE,66.58,"Allanah","Taylor",40.5,23.1,1,1,FALSE,NA
"371",371,2014-03-10,11,1,"Brent",3,FALSE,46.97,"Allanah","Taylor",27.4,30.2,0,0,FALSE,"low"
"372",372,2014-03-10,11,1,"Westminster",5,TRUE,64.755,"Allanah","Carpenter",17.4,49.8,0,0,FALSE,NA
"373",373,2014-03-10,11,1,"Brent",1,FALSE,37.77,"Allanah","Taylor",21.2,49.2,1,1,FALSE,"high"
"374",374,2014-03-10,11,1,"Brent",2,FALSE,22.98,"Allanah","Taylor",19.9,51.3,0,0,FALSE,"high"
"375",375,2014-03-10,11,1,"Westminster",6,TRUE,77.346,"Allanah","Carpenter",11.1,35.2,0,0,FALSE,"medium"
"376",376,2014-03-10,11,1,"Westminster",7,TRUE,84.537,"Allanah","Carpenter",19.4,51.2,0,0,FALSE,"high"
"377",377,2014-03-10,11,1,"Camden",3,FALSE,40.97,"Allanah","Taylor",24.3,30.5,0,0,FALSE,"low"
"378",378,2014-03-10,11,1,"Westminster",3,FALSE,44.97,"Allanah",NA,33.9,NA,0,0,FALSE,"medium"
"379",379,2014-03-10,11,1,"Westminster",4,TRUE,46.764,"Allanah","Carpenter",25.9,30.1,0,0,FALSE,"low"
"380",380,2014-03-11,11,2,"Westminster",2,TRUE,57.984,"Maria","Taylor",41.5,38.2,1,0,FALSE,NA
"381",381,2014-03-11,11,2,"Brent",5,TRUE,48.924,"Allanah","Carter",20.1,57.8,0,0,FALSE,NA
"382",382,2014-03-11,11,2,"Brent",2,TRUE,18.384,"Allanah","Carter",19.7,55.5,0,0,FALSE,"high"
"383",383,2014-03-11,11,2,"Camden",3,TRUE,30.376,"Maria","Carter",13.9,58.7,0,0,FALSE,"high"
"384",384,2014-03-11,11,2,"Brent",3,TRUE,28.776,"Maria","Taylor",9.9,63.8,0,0,FALSE,"high"
"385",385,2014-03-11,11,2,"Westminster",1,TRUE,12.792,"Allanah","Carter",18.6,59.5,0,0,FALSE,"high"
"386",386,2014-03-11,11,2,"Camden",1,TRUE,8.792,"Allanah","Carter",24.3,52.7,0,0,FALSE,"high"
"387",387,2014-03-11,11,2,"Brent",4,TRUE,41.7312,"Allanah","Carter",23.6,57.4,0,0,FALSE,"high"
"388",388,2014-03-11,11,2,"Camden",2,TRUE,52.368,"Allanah","Carter",23.3,54.5,1,1,FALSE,"high"
"389",389,2014-03-11,11,2,"Brent",2,TRUE,51.512,"Maria","Hunter",14,57.8,1,1,FALSE,"high"
"390",390,2014-03-11,11,2,"Brent",3,TRUE,35.976,"Allanah","Carter",21.9,37.5,0,0,FALSE,"medium"
"391",391,2014-03-11,11,2,"Brent",4,TRUE,41.7312,"Maria","Hunter",9.4,61.9,0,0,FALSE,"high"
"392",392,2014-03-11,11,2,"Camden",3,TRUE,35.976,"Maria","Taylor",25.6,53.4,0,0,FALSE,"high"
"393",393,NA,NA,NA,"Camden",2,TRUE,19.984,"Allanah","Carter",30.7,49.9,0,0,FALSE,"high"
"394",394,2014-03-11,11,2,"Brent",5,TRUE,47.484,"Allanah","Hunter",24.1,59.4,0,0,FALSE,"high"
"395",395,2014-03-11,11,2,"Brent",2,TRUE,52.088,"Allanah","Hunter",13.9,57.2,1,1,FALSE,"high"
"396",396,2014-03-11,11,2,"Brent",4,TRUE,34.5312,"Maria","Carter",36.6,48.5,0,0,FALSE,"high"
"397",397,2014-03-11,11,2,"Camden",5,TRUE,73.1736,"Maria","Carter",46.7,43.1,1,1,FALSE,"high"
"398",398,2014-03-11,11,2,"Brent",3,TRUE,32.776,"Allanah","Hunter",13.5,59.6,0,0,FALSE,"high"
"399",399,2014-03-11,11,2,"Brent",5,TRUE,78.3216,"Maria","Taylor",20.8,57.5,1,1,FALSE,"high"
"400",400,2014-03-11,11,2,"Camden",4,TRUE,40.2912,"Allanah","Taylor",29.8,55.8,0,0,FALSE,NA
"401",401,2014-03-11,11,2,"Brent",1,TRUE,10.392,"Maria","Hunter",13.4,59.9,0,0,FALSE,NA
"402",402,2014-03-11,11,2,"Brent",6,TRUE,64.7568,"Allanah","Carter",18,42.7,0,0,FALSE,"medium"
"403",403,2014-03-11,11,2,"Camden",4,TRUE,35.2512,"Maria","Carter",25.3,58.8,0,0,FALSE,"high"
"404",404,2014-03-11,11,2,"Camden",3,TRUE,31.176,"Allanah","Taylor",28.3,35.5,0,0,FALSE,"medium"
"405",405,2014-03-11,11,2,"Brent",1,TRUE,8.792,"Allanah","Carter",20.5,55.4,0,0,FALSE,"high"
"406",406,2014-03-11,11,2,"Westminster",6,TRUE,65.4768,"Allanah","Hunter",14.6,38.1,0,0,FALSE,"medium"
"407",407,2014-03-11,11,2,"Brent",3,TRUE,29.576,"Maria","Carter",19.8,57.9,0,0,FALSE,"high"
"408",408,2014-03-11,11,2,"Brent",2,TRUE,23.984,"Allanah","Hunter",8.8,58.8,0,0,FALSE,"high"
"409",409,2014-03-11,11,2,"Brent",1,TRUE,8.792,"Maria","Carter",15.6,55.6,0,0,FALSE,"high"
"410",410,2014-03-11,11,2,"Camden",8,TRUE,77.7024,"Maria","Taylor",12.7,60.7,0,0,TRUE,"high"
"411",411,2014-03-11,11,2,"Brent",2,TRUE,49.072,"Allanah","Carter",12.1,45.4,1,1,FALSE,"medium"
"412",412,2014-03-11,11,2,"Camden",4,TRUE,39.5712,"Allanah","Taylor",21.5,55.9,0,0,FALSE,NA
"413",413,2014-03-11,11,2,"Camden",2,TRUE,41.728,"Maria","Taylor",18,58.5,1,1,FALSE,"high"
"414",414,2014-03-11,11,2,"Camden",5,TRUE,48.204,"Maria","Taylor",52.8,40.1,0,0,TRUE,"medium"
"415",415,NA,NA,NA,"Brent",4,TRUE,37.4112,"Maria","Taylor",27.8,55.3,0,0,FALSE,"high"
"416",416,2014-03-12,11,3,"Brent",3,FALSE,33.97,"Maria","Hunter",20.2,60.8,0,0,FALSE,"high"
"417",417,2014-03-12,11,3,"Camden",3,FALSE,34.97,"Allanah","Taylor",26.5,54.4,0,0,FALSE,"high"
"418",418,2014-03-12,11,3,"Brent",3,FALSE,59.66,"Allanah","Carter",11.2,58.3,1,1,FALSE,"high"
"419",419,2014-03-12,11,3,"Westminster",5,TRUE,88.947,"Allanah","Hunter",32.8,38.8,1,1,FALSE,"medium"
"420",420,2014-03-12,11,3,"Brent",1,FALSE,10.99,"Maria","Hunter",10.3,59.5,0,0,FALSE,NA
"421",421,2014-03-12,11,3,"Brent",4,TRUE,46.764,"Maria","Carter",38.7,NA,0,0,FALSE,"high"
"422",422,2014-03-12,11,3,"Camden",4,TRUE,48.564,"Allanah","Taylor",33.6,NA,0,0,FALSE,"high"
"423",423,2014-03-12,11,3,"Brent",2,FALSE,21.98,"Maria","Carter",28.8,53.8,0,0,FALSE,NA
"424",424,2014-03-12,11,3,"Brent",3,FALSE,38.97,"Maria","Hunter",11.5,60.2,0,0,FALSE,"high"
"425",425,2014-03-12,11,3,"Brent",3,FALSE,71.03,"Maria","Hunter",16.6,60.7,1,0,TRUE,"high"
"426",426,2014-03-12,11,3,"Brent",1,FALSE,13.99,"Maria","Carter",16.8,57.7,0,0,FALSE,NA
"427",427,2014-03-12,11,3,"Westminster",3,FALSE,44.97,"Maria","Hunter",17.8,60.2,0,0,FALSE,"high"
"428",428,2014-03-12,11,3,"Brent",5,TRUE,102.78,"Allanah","Hunter",25.8,33.8,1,1,FALSE,"low"
"429",429,2014-03-12,11,3,"Westminster",2,FALSE,27.98,"Allanah","Hunter",22,55.3,0,0,FALSE,"high"
"430",430,2014-03-12,11,3,"Brent",6,TRUE,71.946,"Maria","Carter",21.6,58.2,0,0,TRUE,"high"
"431",431,2014-03-12,11,3,"Brent",2,FALSE,26.98,"Allanah","Hunter",15.1,58,0,0,FALSE,"high"
"432",432,2014-03-12,11,3,"Brent",3,FALSE,40.97,"Allanah","Hunter",11.6,59.3,0,0,FALSE,"high"
"433",433,2014-03-12,11,3,"Brent",8,TRUE,107.028,"Maria","Taylor",11.6,57.4,0,0,FALSE,"high"
"434",434,2014-03-12,11,3,"Brent",3,FALSE,37.97,"Allanah","Hunter",11.5,41.9,0,0,FALSE,"medium"
"435",435,2014-03-12,11,3,"Brent",2,FALSE,23.98,"Allanah","Carter",21.2,56.4,0,0,FALSE,"high"
