"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"222","... < 0 DM",12,"existing credits paid back duly till now","retraining",1200,"unknown/no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",23,"bank","rent",1,"skilled employee/official",1,"yes","yes","good"
"223","no checking account",12,"existing credits paid back duly till now","domestic appliances",707,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",30,"bank","own",2,"skilled employee/official",1,"no","yes","good"
"224","no checking account",24,"delay in paying off in the past","others",2978,"unknown/no savings account","1 <= ... < 4 years",4,"male : single","none",4,"real estate",32,"none","own",2,"skilled employee/official",2,"yes","yes","good"
"225","no checking account",15,"existing credits paid back duly till now","car (used)",4657,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"car or other",30,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"226","no checking account",36,"no credits taken/all credits paid back duly","education",2613,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",27,"none","own",2,"skilled employee/official",1,"no","yes","good"
"227","0 <= ... < 200 DM",48,"existing credits paid back duly till now","domestic appliances",10961,"... >= 1000 DM","4 <= ... < 7 years",1,"male : single","co-applicant",2,"unknown/no property",27,"bank","own",2,"skilled employee/official",1,"yes","yes","bad"
"228","... < 0 DM",12,"existing credits paid back duly till now","radio/television",7865,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",53,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","bad"
"229","no checking account",9,"existing credits paid back duly till now","domestic appliances",1478,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",2,"car or other",22,"none","own",1,"skilled employee/official",1,"no","yes","bad"
"230","... < 0 DM",24,"existing credits paid back duly till now","radio/television",3149,"... < 100 DM","... < 1 year",4,"male : single","none",1,"unknown/no property",22,"bank","for free",1,"skilled employee/official",1,"no","yes","good"
"231","... >= 200 DM / salary for at least 1 year",36,"existing credits paid back duly till now","domestic appliances",4210,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",26,"none","own",1,"skilled employee/official",1,"no","yes","bad"
"232","no checking account",9,"existing credits paid back duly till now","car (new)",2507,"500 <= ... < 1000 DM","... >= 7 years",2,"male : single","none",4,"unknown/no property",51,"none","for free",1,"unskilled - resident",1,"no","yes","good"
"233","no checking account",12,"existing credits paid back duly till now","domestic appliances",2141,"100 <= ... < 500 DM","4 <= ... < 7 years",3,"male : single","none",1,"unknown/no property",35,"none","own",1,"skilled employee/official",1,"no","yes","good"
"234","0 <= ... < 200 DM",18,"existing credits paid back duly till now","domestic appliances",866,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","guarantor",2,"real estate",25,"none","own",1,"unskilled - resident",1,"no","yes","good"
"235","no checking account",4,"critical account/other credits existing","domestic appliances",1544,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"no","yes","good"
"236","... < 0 DM",24,"existing credits paid back duly till now","domestic appliances",1823,"... < 100 DM","unemployed",4,"male : single","none",2,"car or other",30,"stores","own",1,"management/self-employed/highly qualified employee/officer",2,"no","yes","bad"
"237","0 <= ... < 200 DM",6,"existing credits paid back duly till now","car (new)",14555,"unknown/no savings account","unemployed",1,"male : single","none",2,"building society savings agreement/life insurance",23,"none","own",1,"unemployed/unskilled - non-resident",1,"yes","yes","bad"
"238","0 <= ... < 200 DM",21,"existing credits paid back duly till now","others",2767,"100 <= ... < 500 DM","... >= 7 years",4,"male : divorced/separated","none",2,"car or other",61,"bank","rent",2,"unskilled - resident",1,"no","yes","bad"
"239","no checking account",12,"critical account/other credits existing","domestic appliances",1291,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",35,"none","own",2,"skilled employee/official",1,"no","yes","good"
"240","... < 0 DM",30,"existing credits paid back duly till now","domestic appliances",2522,"... < 100 DM","... >= 7 years",1,"male : single","guarantor",3,"building society savings agreement/life insurance",39,"none","own",1,"skilled employee/official",2,"no","yes","good"
"241","... < 0 DM",24,"existing credits paid back duly till now","car (new)",915,"unknown/no savings account","... >= 7 years",4,"female : divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"no","yes","bad"
"242","no checking account",6,"existing credits paid back duly till now","domestic appliances",1595,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",2,"building society savings agreement/life insurance",51,"none","own",1,"skilled employee/official",2,"no","yes","good"
"243","... < 0 DM",48,"no credits taken/all credits paid back duly","car (used)",4605,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"unknown/no property",24,"none","for free",2,"skilled employee/official",2,"no","yes","bad"
"244","no checking account",12,"critical account/other credits existing","others",1185,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",27,"none","own",2,"skilled employee/official",1,"no","yes","good"
"245","no checking account",12,"all credits at this bank paid back duly","business",3447,"500 <= ... < 1000 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",3,"real estate",35,"none","own",1,"unskilled - resident",2,"no","yes","good"
"246","no checking account",24,"existing credits paid back duly till now","others",1258,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",1,"real estate",25,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"247","no checking account",12,"critical account/other credits existing","domestic appliances",717,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",52,"none","own",3,"skilled employee/official",1,"no","yes","good"
"248","no checking account",6,"no credits taken/all credits paid back duly","car (new)",1204,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",1,"unknown/no property",35,"bank","rent",1,"skilled employee/official",1,"no","no","good"
"249","... >= 200 DM / salary for at least 1 year",24,"existing credits paid back duly till now","radio/television",1925,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"no","yes","good"
"250","no checking account",18,"existing credits paid back duly till now","domestic appliances",433,"... < 100 DM","unemployed",3,"female : divorced/separated/married","co-applicant",4,"real estate",22,"none","rent",1,"skilled employee/official",1,"no","yes","bad"
"251","... < 0 DM",6,"critical account/other credits existing","car (new)",666,"... >= 1000 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"yes","yes","good"
"252","... >= 200 DM / salary for at least 1 year",12,"existing credits paid back duly till now","radio/television",2251,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"car or other",46,"none","own",1,"unskilled - resident",1,"no","yes","good"
"253","0 <= ... < 200 DM",30,"existing credits paid back duly till now","car (new)",2150,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","guarantor",2,"unknown/no property",24,"bank","own",1,"skilled employee/official",1,"no","yes","bad"
"254","no checking account",24,"delay in paying off in the past","radio/television",4151,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"male : single","none",3,"building society savings agreement/life insurance",35,"none","own",2,"skilled employee/official",1,"no","yes","good"
"255","0 <= ... < 200 DM",9,"existing credits paid back duly till now","radio/television",2030,"unknown/no savings account","4 <= ... < 7 years",2,"male : single","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"256","0 <= ... < 200 DM",60,"delay in paying off in the past","domestic appliances",7418,"unknown/no savings account","1 <= ... < 4 years",1,"male : single","none",1,"real estate",27,"none","own",1,"unskilled - resident",1,"no","yes","good"
"257","no checking account",24,"critical account/other credits existing","domestic appliances",2684,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",35,"none","own",2,"unskilled - resident",1,"no","yes","good"
"258","... < 0 DM",12,"all credits at this bank paid back duly","domestic appliances",2149,"... < 100 DM","1 <= ... < 4 years",4,"male : divorced/separated","none",1,"unknown/no property",29,"none","for free",1,"skilled employee/official",1,"no","yes","bad"
"259","no checking account",15,"existing credits paid back duly till now","car (used)",3812,"100 <= ... < 500 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"car or other",23,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"260","no checking account",11,"critical account/other credits existing","domestic appliances",1154,"100 <= ... < 500 DM","unemployed",4,"female : divorced/separated/married","none",4,"real estate",57,"none","own",3,"unskilled - resident",1,"no","yes","good"
"261","... < 0 DM",12,"existing credits paid back duly till now","radio/television",1657,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",27,"none","own",1,"skilled employee/official",1,"no","yes","good"
"262","... < 0 DM",24,"existing credits paid back duly till now","domestic appliances",1603,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"car or other",55,"none","own",1,"skilled employee/official",1,"no","yes","good"
"263","... < 0 DM",18,"critical account/other credits existing","car (new)",5302,"... < 100 DM","... >= 7 years",2,"male : single","none",4,"unknown/no property",36,"none","for free",3,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"264","no checking account",12,"critical account/other credits existing","retraining",2748,"... < 100 DM","... >= 7 years",2,"female : divorced/separated/married","none",4,"unknown/no property",57,"bank","for free",3,"unskilled - resident",1,"no","yes","good"
"265","no checking account",10,"critical account/other credits existing","car (new)",1231,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"real estate",32,"none","own",2,"unskilled - resident",2,"no","no","good"
"266","0 <= ... < 200 DM",15,"existing credits paid back duly till now","domestic appliances",802,"... < 100 DM","... >= 7 years",4,"male : single","none",3,"car or other",37,"none","own",1,"skilled employee/official",2,"no","yes","bad"
"267","no checking account",36,"critical account/other credits existing","others",6304,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"real estate",36,"none","own",2,"skilled employee/official",1,"no","yes","good"
"268","no checking account",24,"existing credits paid back duly till now","domestic appliances",1533,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",3,"car or other",38,"stores","own",1,"skilled employee/official",1,"yes","yes","good"
"269","... < 0 DM",14,"existing credits paid back duly till now","car (new)",8978,"... < 100 DM","... >= 7 years",1,"male : divorced/separated","none",4,"building society savings agreement/life insurance",45,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","no","bad"
"270","no checking account",24,"existing credits paid back duly till now","domestic appliances",999,"unknown/no savings account","... >= 7 years",4,"male : single","none",2,"car or other",25,"none","own",2,"skilled employee/official",1,"no","yes","good"
"271","no checking account",18,"existing credits paid back duly till now","car (new)",2662,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",3,"building society savings agreement/life insurance",32,"none","own",1,"skilled employee/official",1,"no","no","good"
"272","no checking account",12,"critical account/other credits existing","radio/television",1402,"500 <= ... < 1000 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",4,"car or other",37,"none","rent",1,"skilled employee/official",1,"yes","yes","good"
"273","0 <= ... < 200 DM",48,"all credits at this bank paid back duly","car (new)",12169,"unknown/no savings account","unemployed",4,"male : single","co-applicant",4,"unknown/no property",36,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"274","0 <= ... < 200 DM",48,"existing credits paid back duly till now","domestic appliances",3060,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"real estate",28,"none","own",2,"skilled employee/official",1,"no","yes","bad"
"275","... < 0 DM",30,"existing credits paid back duly till now","education",11998,"... < 100 DM","... < 1 year",1,"male : divorced/separated","none",1,"unknown/no property",34,"none","own",1,"unskilled - resident",1,"yes","yes","bad"
"276","no checking account",9,"existing credits paid back duly till now","domestic appliances",2697,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",2,"real estate",32,"none","own",1,"skilled employee/official",2,"no","yes","good"
"277","no checking account",18,"critical account/other credits existing","domestic appliances",2404,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"car or other",26,"none","own",2,"skilled employee/official",1,"no","yes","good"
"278","... < 0 DM",12,"existing credits paid back duly till now","radio/television",1262,"unknown/no savings account","... >= 7 years",2,"male : divorced/separated","none",4,"building society savings agreement/life insurance",49,"none","own",1,"unskilled - resident",1,"yes","yes","good"
"279","no checking account",6,"existing credits paid back duly till now","radio/television",4611,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",32,"none","own",1,"skilled employee/official",1,"no","yes","bad"
"280","no checking account",24,"existing credits paid back duly till now","domestic appliances",1901,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other",29,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"281","no checking account",15,"critical account/other credits existing","car (used)",3368,"... >= 1000 DM","... >= 7 years",3,"male : single","none",4,"unknown/no property",23,"none","rent",2,"skilled employee/official",1,"yes","yes","good"
"282","no checking account",12,"existing credits paid back duly till now","radio/television",1574,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",50,"none","own",1,"skilled employee/official",1,"no","yes","good"
"283","... >= 200 DM / salary for at least 1 year",18,"all credits at this bank paid back duly","domestic appliances",1445,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",4,"car or other",49,"bank","own",1,"unskilled - resident",1,"no","yes","good"
"284","no checking account",15,"critical account/other credits existing","radio/television",1520,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",63,"none","own",1,"skilled employee/official",1,"no","yes","good"
"285","0 <= ... < 200 DM",24,"critical account/other credits existing","car (new)",3878,"100 <= ... < 500 DM","... < 1 year",4,"male : divorced/separated","none",2,"car or other",37,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"286","... < 0 DM",47,"existing credits paid back duly till now","car (new)",10722,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",1,"real estate",35,"none","own",1,"unskilled - resident",1,"yes","yes","good"
"287","... < 0 DM",48,"existing credits paid back duly till now","car (used)",4788,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",3,"building society savings agreement/life insurance",26,"none","own",1,"skilled employee/official",2,"no","yes","good"
"288","0 <= ... < 200 DM",48,"delay in paying off in the past","furniture/equipment",7582,"100 <= ... < 500 DM","unemployed",2,"male : single","none",4,"unknown/no property",31,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"289","0 <= ... < 200 DM",12,"existing credits paid back duly till now","domestic appliances",1092,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","guarantor",4,"real estate",49,"none","own",2,"skilled employee/official",1,"yes","yes","good"
"290","... < 0 DM",24,"delay in paying off in the past","domestic appliances",1024,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",4,"real estate",48,"stores","own",1,"skilled employee/official",1,"no","yes","bad"
"291","no checking account",12,"existing credits paid back duly till now","others",1076,"... < 100 DM","1 <= ... < 4 years",2,"male : married/widowed","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"yes","no","good"
"292","0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (used)",9398,"... < 100 DM","... < 1 year",1,"male : married/widowed","none",4,"car or other",28,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","bad"
"293","... < 0 DM",24,"critical account/other credits existing","car (used)",6419,"... < 100 DM","... >= 7 years",2,"female : divorced/separated/married","none",4,"unknown/no property",44,"none","for free",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","good"
"294","... >= 200 DM / salary for at least 1 year",42,"critical account/other credits existing","car (used)",4796,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",56,"none","for free",1,"skilled employee/official",1,"no","yes","good"
"295","no checking account",48,"critical account/other credits existing","others",7629,"unknown/no savings account","... >= 7 years",4,"male : divorced/separated","none",2,"car or other",46,"bank","own",2,"management/self-employed/highly qualified employee/officer",2,"no","yes","good"
"296","0 <= ... < 200 DM",48,"existing credits paid back duly till now","radio/television",9960,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",2,"car or other",26,"none","own",1,"skilled employee/official",1,"yes","yes","bad"
"297","no checking account",12,"existing credits paid back duly till now","car (used)",4675,"unknown/no savings account","... < 1 year",1,"female : divorced/separated/married","none",4,"car or other",20,"none","rent",1,"skilled employee/official",1,"no","yes","good"
"298","no checking account",10,"existing credits paid back duly till now","car (new)",1287,"unknown/no savings account","... >= 7 years",4,"male : single","co-applicant",2,"building society savings agreement/life insurance",45,"none","own",1,"unskilled - resident",1,"no","no","good"
"299","no checking account",18,"existing credits paid back duly till now","radio/television",2515,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",4,"real estate",43,"none","own",1,"skilled employee/official",1,"yes","yes","good"
"300","0 <= ... < 200 DM",21,"critical account/other credits existing","radio/television",2745,"... >= 1000 DM","4 <= ... < 7 years",3,"male : single","none",2,"car or other",32,"none","own",2,"skilled employee/official",1,"yes","yes","good"
"301","no checking account",6,"existing credits paid back duly till now","car (new)",672,"... < 100 DM","unemployed",1,"female : divorced/separated/married","none",4,"real estate",54,"none","own",1,"unemployed/unskilled - non-resident",1,"yes","yes","good"
"302","0 <= ... < 200 DM",36,"no credits taken/all credits paid back duly","domestic appliances",3804,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",1,"car or other",42,"none","own",1,"skilled employee/official",1,"yes","yes","bad"
"303","... >= 200 DM / salary for at least 1 year",24,"critical account/other credits existing","car (new)",1344,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",2,"real estate",37,"bank","own",2,"unskilled - resident",2,"no","yes","bad"
"304","... < 0 DM",10,"critical account/other credits existing","car (new)",1038,"... < 100 DM","4 <= ... < 7 years",4,"male : single","co-applicant",3,"building society savings agreement/life insurance",49,"none","own",2,"skilled employee/official",1,"yes","yes","good"
"305","no checking account",48,"critical account/other credits existing","car (new)",10127,"500 <= ... < 1000 DM","1 <= ... < 4 years",2,"male : single","none",2,"unknown/no property",44,"bank","for free",1,"skilled employee/official",1,"no","yes","bad"
"306","no checking account",6,"existing credits paid back duly till now","radio/television",1543,"... >= 1000 DM","1 <= ... < 4 years",4,"male : divorced/separated","none",2,"real estate",33,"none","own",1,"skilled employee/official",1,"no","yes","good"
"307","no checking account",30,"existing credits paid back duly till now","car (used)",4811,"unknown/no savings account","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"stores","rent",1,"unskilled - resident",1,"no","yes","good"
"308","... < 0 DM",12,"existing credits paid back duly till now","domestic appliances",727,"100 <= ... < 500 DM","... < 1 year",4,"male : married/widowed","none",3,"unknown/no property",33,"none","own",1,"unskilled - resident",1,"yes","yes","bad"
"309","0 <= ... < 200 DM",8,"existing credits paid back duly till now","radio/television",1237,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",4,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes","bad"
"310","0 <= ... < 200 DM",9,"existing credits paid back duly till now","car (new)",276,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",4,"real estate",22,"none","rent",1,"unskilled - resident",1,"no","yes","good"
"311","0 <= ... < 200 DM",48,"existing credits paid back duly till now","furniture/equipment",5381,"unknown/no savings account","unemployed",3,"male : single","none",4,"unknown/no property",40,"bank","for free",1,"unemployed/unskilled - non-resident",1,"yes","yes","good"
"312","no checking account",24,"existing credits paid back duly till now","radio/television",5511,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",1,"car or other",25,"stores","own",1,"skilled employee/official",1,"no","yes","good"
"313","... >= 200 DM / salary for at least 1 year",24,"existing credits paid back duly till now","radio/television",3749,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"car or other",26,"none","own",1,"skilled employee/official",1,"no","yes","good"
"314","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",685,"... < 100 DM","4 <= ... < 7 years",2,"male : married/widowed","none",3,"car or other",25,"bank","own",1,"unskilled - resident",1,"no","yes","bad"
"315","... >= 200 DM / salary for at least 1 year",4,"existing credits paid back duly till now","car (new)",1494,"unknown/no savings account","... < 1 year",1,"male : single","none",2,"real estate",29,"none","own",1,"unskilled - resident",2,"no","no","good"
"316","... < 0 DM",36,"all credits at this bank paid back duly","radio/television",2746,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",31,"bank","own",1,"skilled employee/official",1,"no","yes","bad"
"317","... < 0 DM",12,"existing credits paid back duly till now","radio/television",708,"... < 100 DM","1 <= ... < 4 years",2,"male : single","guarantor",3,"building society savings agreement/life insurance",38,"none","own",1,"unskilled - resident",2,"no","yes","good"
"318","0 <= ... < 200 DM",24,"existing credits paid back duly till now","radio/television",4351,"unknown/no savings account","1 <= ... < 4 years",1,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",48,"none","own",1,"unskilled - resident",1,"yes","yes","good"
"319","no checking account",12,"critical account/other credits existing","retraining",701,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",32,"none","own",2,"skilled employee/official",1,"no","yes","good"
"320","... < 0 DM",15,"delay in paying off in the past","radio/television",3643,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",27,"none","own",2,"unskilled - resident",1,"no","yes","good"
"321","0 <= ... < 200 DM",30,"critical account/other credits existing","car (new)",4249,"... < 100 DM","unemployed",4,"male : married/widowed","none",2,"car or other",28,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes","bad"
"322","... < 0 DM",24,"existing credits paid back duly till now","domestic appliances",1938,"... < 100 DM","... < 1 year",4,"male : divorced/separated","none",3,"building society savings agreement/life insurance",32,"none","own",1,"skilled employee/official",1,"no","yes","bad"
"323","... < 0 DM",24,"existing credits paid back duly till now","car (used)",2910,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",1,"unknown/no property",34,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"324","... < 0 DM",18,"existing credits paid back duly till now","radio/television",2659,"... >= 1000 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",28,"none","own",1,"skilled employee/official",1,"no","yes","good"
"325","no checking account",18,"critical account/other credits existing","car (new)",1028,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",3,"real estate",36,"none","own",2,"skilled employee/official",1,"no","yes","good"
"326","... < 0 DM",8,"critical account/other credits existing","car (new)",3398,"... < 100 DM","4 <= ... < 7 years",1,"male : single","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"no","no","good"
"327","no checking account",12,"critical account/other credits existing","radio/television",5801,"unknown/no savings account","... >= 7 years",2,"male : single","none",4,"building society savings agreement/life insurance",49,"none","rent",1,"skilled employee/official",1,"yes","yes","good"
"328","no checking account",24,"existing credits paid back duly till now","car (new)",1525,"... >= 1000 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"car or other",34,"none","own",1,"skilled employee/official",2,"yes","yes","good"
"329","... >= 200 DM / salary for at least 1 year",36,"existing credits paid back duly till now","domestic appliances",4473,"... < 100 DM","... >= 7 years",4,"male : single","none",2,"car or other",31,"none","own",1,"skilled employee/official",1,"no","yes","good"
"330","0 <= ... < 200 DM",6,"existing credits paid back duly till now","domestic appliances",1068,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",28,"none","own",1,"skilled employee/official",2,"no","yes","good"
"331","... < 0 DM",24,"critical account/other credits existing","car (used)",6615,"... < 100 DM","unemployed",2,"male : single","none",4,"unknown/no property",75,"none","for free",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"332","no checking account",18,"critical account/other credits existing","retraining",1864,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",30,"none","own",2,"skilled employee/official",1,"no","yes","bad"
"333","0 <= ... < 200 DM",60,"existing credits paid back duly till now","car (new)",7408,"100 <= ... < 500 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",24,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","bad"
"334","no checking account",48,"critical account/other credits existing","car (used)",11590,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"car or other",24,"bank","rent",2,"unskilled - resident",1,"no","yes","bad"
"335","... < 0 DM",24,"no credits taken/all credits paid back duly","radio/television",4110,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"unknown/no property",23,"bank","rent",2,"skilled employee/official",2,"no","yes","bad"
"336","... < 0 DM",6,"critical account/other credits existing","radio/television",3384,"... < 100 DM","1 <= ... < 4 years",1,"male : divorced/separated","none",4,"real estate",44,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","bad"
"337","0 <= ... < 200 DM",13,"existing credits paid back duly till now","domestic appliances",2101,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","guarantor",4,"building society savings agreement/life insurance",23,"none","own",1,"unskilled - resident",1,"no","yes","good"
"338","... < 0 DM",15,"existing credits paid back duly till now","repairs",1275,"unknown/no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other",24,"none","rent",1,"skilled employee/official",1,"no","yes","bad"
"339","... < 0 DM",24,"existing credits paid back duly till now","radio/television",4169,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"building society savings agreement/life insurance",28,"none","own",1,"skilled employee/official",1,"no","yes","good"
"340","0 <= ... < 200 DM",10,"existing credits paid back duly till now","radio/television",1521,"... < 100 DM","1 <= ... < 4 years",4,"male : divorced/separated","none",2,"car or other",31,"none","own",1,"unskilled - resident",1,"no","yes","good"
"341","0 <= ... < 200 DM",24,"critical account/other credits existing","retraining",5743,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"unknown/no property",24,"none","for free",2,"skilled employee/official",1,"yes","yes","good"
"342","... < 0 DM",21,"existing credits paid back duly till now","radio/television",3599,"... < 100 DM","4 <= ... < 7 years",1,"female : divorced/separated/married","none",4,"car or other",26,"none","rent",1,"unskilled - resident",1,"no","yes","good"
"343","0 <= ... < 200 DM",18,"existing credits paid back duly till now","domestic appliances",3213,"500 <= ... < 1000 DM","... < 1 year",1,"male : married/widowed","none",3,"real estate",25,"none","rent",1,"skilled employee/official",1,"no","yes","good"
"344","0 <= ... < 200 DM",18,"existing credits paid back duly till now","others",4439,"... < 100 DM","... >= 7 years",1,"male : single","co-applicant",1,"real estate",33,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","good"
"345","... >= 200 DM / salary for at least 1 year",10,"existing credits paid back duly till now","car (new)",3949,"... < 100 DM","... < 1 year",1,"male : single","guarantor",1,"building society savings agreement/life insurance",37,"none","own",1,"unskilled - resident",2,"no","yes","good"
"346","no checking account",15,"critical account/other credits existing","domestic appliances",1459,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other",43,"none","own",1,"unskilled - resident",1,"no","yes","good"
"347","0 <= ... < 200 DM",13,"critical account/other credits existing","domestic appliances",882,"... < 100 DM","... < 1 year",4,"male : single","guarantor",4,"real estate",23,"none","own",2,"skilled employee/official",1,"no","yes","good"
"348","0 <= ... < 200 DM",24,"existing credits paid back duly till now","domestic appliances",3758,"500 <= ... < 1000 DM","unemployed",1,"female : divorced/separated/married","none",4,"unknown/no property",23,"none","rent",1,"unemployed/unskilled - non-resident",1,"no","yes","good"
"349","no checking account",6,"delay in paying off in the past","others",1743,"100 <= ... < 500 DM","1 <= ... < 4 years",1,"male : single","none",2,"real estate",34,"none","own",2,"unskilled - resident",1,"no","yes","good"
"350","0 <= ... < 200 DM",9,"critical account/other credits existing","retraining",1136,"... >= 1000 DM","... >= 7 years",4,"male : single","none",3,"unknown/no property",32,"none","for free",2,"skilled employee/official",2,"no","yes","bad"
